what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.1.v20090722-0200-e3x,org.eclipse.mylyn.bugzilla.ui,1251347511197
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.commons.net,1251347511197
started,bundle,org.eclipse.mylyn.commons.ui,3.2.1.v20090722-0200-e3x,org.eclipse.mylyn.commons.ui,1251347511220
started,bundle,org.eclipse.mylyn.context.core,3.2.1.v20090722-0200-e3x,org.eclipse.mylyn.context.core,1251347511262
started,bundle,org.eclipse.mylyn.context.ui,3.2.1.v20090722-0200-e3x,org.eclipse.mylyn.context.ui,1251347511286
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.1.v20090722-0200-e3x,org.eclipse.mylyn.monitor.ui,1251347511288
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.1.v20090722-0200-e3x,org.eclipse.mylyn.tasks.ui,1251347511327
started,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1251347511386
started,bundle,org.eclipse.team.core,3.4.2.r34x_20080115,org.eclipse.team.core,1251347511401
started,bundle,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui,1251347511472
started,bundle,org.eclipse.ui.forms,3.3.103.v20081027_34x,org.eclipse.ui.forms,1251347511584
started,bundle,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.ide,1251347511682
started,bundle,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views,1251347511686
started,bundle,org.eclipse.ui.workbench,3.4.2.M20090127-1700,org.eclipse.ui.workbench,1251347511720
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1251347511764
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.4.v200810151458,org.eclipse.wst.common.project.facet.core,1251347511866
started,bundle,org.eclipse.wst.web,1.1.206.v200812100430,org.eclipse.wst.web,1251347511871
started,bundle,org.eclipse.emf.common,2.4.0.v200902171115,org.eclipse.emf.common,1251347512006
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1251347512255
started,bundle,org.eclipse.emf.ecore,2.4.2.v200902171115,org.eclipse.emf.ecore,1251347512256
started,bundle,org.eclipse.jem.util,2.0.100.v200805140020,org.eclipse.jem.util,1251347512281
started,bundle,org.eclipse.wst.common.frameworks,1.1.201.v200811060900,org.eclipse.wst.common.frameworks,1251347512301
started,bundle,org.eclipse.jst.jsf.common,1.1.4.v20090128,org.eclipse.jst.jsf.common,1251347512339
started,bundle,org.eclipse.jst.jsf.core,1.1.103.v200902042324,org.eclipse.jst.jsf.core,1251347512398
started,bundle,org.eclipse.mylyn.team.ui,3.2.1.v20090722-0200-e3x,org.eclipse.mylyn.team.ui,1251347512436
